Teams,Golfer 1,Golfer 2,Golfer 3,Golfer 4,Golfer 5,Golfer 6,Golfer 7,Golfer 8,First Alt,Second Alt,Third Alt,Fourth Alt
"Anderson, Willie","Meissner, Mac","Johnston, Ryggs","LaCroix, Frederic","Luiten, Joost","Couvra, Martin","McGreevy, Max","Wu, Ashun","Armitage, Marcus","Moore, Taylor","Fox, Ryan","Lindberg, Mikael","Kim, Tom"
"Aoki, Isao","Johnston, Ryggs","LaCroix, Frederic","Luiten, Joost","Couvra, Martin","McGreevy, Max","Wu, Ashun","Armitage, Marcus","Moore, Taylor","Fox, Ryan","Lindberg, Mikael","Kim, Tom","Lee, Junghwan"
"Armour, Tommy","LaCroix, Frederic","Luiten, Joost","Couvra, Martin","McGreevy, Max","Wu, Ashun","Armitage, Marcus","Moore, Taylor","Fox, Ryan","Lindberg, Mikael","Kim, Tom","Lee, Junghwan","Cauley, Bud"
"Ball, John","Luiten, Joost","Couvra, Martin","McGreevy, Max","Wu, Ashun","Armitage, Marcus","Moore, Taylor","Fox, Ryan","Lindberg, Mikael","Kim, Tom","Lee, Junghwan","Cauley, Bud","Saddier, Adrien"
"Ballesteros, Seve","Couvra, Martin","McGreevy, Max","Wu, Ashun","Armitage, Marcus","Moore, Taylor","Fox, Ryan","Lindberg, Mikael","Kim, Tom","Lee, Junghwan","Cauley, Bud","Saddier, Adrien","Wallace, Matt"
"Barnes, Jim","McGreevy, Max","Wu, Ashun","Armitage, Marcus","Moore, Taylor","Fox, Ryan","Lindberg, Mikael","Kim, Tom","Lee, Junghwan","Cauley, Bud","Saddier, Adrien","Wallace, Matt","Penge, Marco"
"Beck, Robin","Wu, Ashun","Armitage, Marcus","Moore, Taylor","Fox, Ryan","Lindberg, Mikael","Kim, Tom","Lee, Junghwan","Cauley, Bud","Saddier, Adrien","Wallace, Matt","Penge, Marco","Jamieson, Scott"
"Bolt, Tommy","Armitage, Marcus","Moore, Taylor","Fox, Ryan","Lindberg, Mikael","Kim, Tom","Lee, Junghwan","Cauley, Bud","Saddier, Adrien","Wallace, Matt","Penge, Marco","Jamieson, Scott","Campbell, Brian"
"Boros, Julius","Moore, Taylor","Fox, Ryan","Lindberg, Mikael","Kim, Tom","Lee, Junghwan","Cauley, Bud","Saddier, Adrien","Wallace, Matt","Penge, Marco","Jamieson, Scott","Campbell, Brian","Kim, Michael"
"Braid, James","Fox, Ryan","Lindberg, Mikael","Kim, Tom","Lee, Junghwan","Cauley, Bud","Saddier, Adrien","Wallace, Matt","Penge, Marco","Jamieson, Scott","Campbell, Brian","Kim, Michael","Hidalgo, Angel"
